Game,NumOfWomen
tokyo 2020 Summer,0
rio 2016 Summer,51
london 2012 Summer,23
beijing 2008 Summer,22
athens 2004 Summer,25
sydney 2000 Summer,21
atlanta 1996 Summer,9
barcelona 1992 Summer,6
seoul 1988 Summer,7
los angeles 1984 Summer,6
moscow 1980 Summer,16
montreal 1976 Summer,0
munich 1972 Summer,1
mexico 1968 Summer,0
tokyo 1964 Summer,1
rome 1960 Summer,0
melbourne stockholm 1956 Summer,1
helsinki 1952 Summer,4
london 1948 Summer,0
berlin 1936 Summer,0
los angeles 1932 Summer,0
amsterdam 1928 Summer,0
paris 1924 Summer,1
antwerp 1920 Summer,0
stockholm 1912 Summer,0
london 1908 Summer,0
st louis 1904 Summer,0
paris 1900 Summer,0
athens 1896 Summer,0
pyeongchang 2018 Winter,0
sochi 2014 Winter,0
vancouver 2010 Winter,0
turin 2006 Winter,1
salt lake city 2002 Winter,0
nagano 1998 Winter,0
lillehammer 1994 Winter,0
albertville 1992 Winter,0
calgary 1988 Winter,1
sarajevo 1984 Winter,0
lake placid 1980 Winter,0
innsbruck 1976 Winter,0
sapporo 1972 Winter,0
grenoble 1968 Winter,0
innsbruck 1964 Winter,0
squaw valley 1960 Winter,0
cortina d ampezzo 1956 Winter,0
oslo 1952 Winter,0
st moritz 1948 Winter,0
garmisch partenkirchen 1936 Winter,0
lake placid 1932 Winter,0
st moritz 1928 Winter,0
chamonix 1924 Winter,0
